epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2791.62,0.43914,0.75972,0.46203,1.01562,0.89897,0.83918,0.92478,0.81403,0.90322,0.83626,0.9228,0.76571,0.47944,1.18775,0.50196,1.02062,0.0008516,0.0008516,0.0008516
31,2885.42,0.45567,0.73927,0.45602,0.99943,0.90942,0.88071,0.95367,0.84073,0.9065,0.87719,0.945,0.77726,0.46131,1.14283,0.42828,1.02484,0.000812,0.000812,0.000812
32,2984.08,0.44338,0.74173,0.43568,1.00407,0.9252,0.88012,0.94871,0.83514,0.9252,0.88012,0.94867,0.79934,0.45928,1.04372,0.44042,1.00303,0.0007724,0.0007724,0.0007724
33,3081.84,0.42951,0.72116,0.41726,0.99328,0.91704,0.89766,0.95139,0.84191,0.91704,0.89766,0.94976,0.79118,0.43648,1.10838,0.40419,0.99068,0.0007328,0.0007328,0.0007328
34,3205.71,0.42374,0.65691,0.41287,0.98799,0.94144,0.89322,0.94801,0.83895,0.93939,0.87427,0.94337,0.81069,0.42472,0.99397,0.41079,0.98688,0.0006932,0.0006932,0.0006932
35,3304.32,0.42784,0.73547,0.42597,0.98502,0.90182,0.88635,0.95269,0.84621,0.90182,0.88635,0.95099,0.81956,0.43717,1.05352,0.40204,0.99769,0.0006536,0.0006536,0.0006536
36,3401.96,0.39836,0.61509,0.39468,0.98747,0.91956,0.87427,0.95152,0.84404,0.91956,0.87427,0.95006,0.81467,0.43922,0.94849,0.39202,1.00029,0.000614,0.000614,0.000614
37,3484.08,0.4114,0.63929,0.39326,0.97271,0.92163,0.89409,0.9536,0.84807,0.92163,0.89409,0.95405,0.81685,0.4096,0.95771,0.38791,0.97649,0.0005744,0.0005744,0.0005744
38,3565.81,0.37757,0.61159,0.36988,0.96595,0.88169,0.9152,0.94856,0.84628,0.88169,0.9152,0.94506,0.81351,0.44056,0.96602,0.40108,1.01947,0.0005348,0.0005348,0.0005348
39,3653.15,0.37798,0.61137,0.3902,0.97244,0.91072,0.89474,0.95391,0.84169,0.90875,0.89181,0.94993,0.81654,0.42412,0.95386,0.38628,0.98624,0.0004952,0.0004952,0.0004952
40,3745.58,0.38045,0.61195,0.37921,0.97421,0.90623,0.89766,0.94882,0.84326,0.90328,0.89474,0.94445,0.80771,0.4342,0.98102,0.40213,0.99921,0.0004556,0.0004556,0.0004556
41,3838.92,0.3279,0.56378,0.369,0.93502,0.95169,0.86395,0.95252,0.84705,0.96238,0.84795,0.9441,0.79678,0.40891,1.05015,0.38531,0.98486,0.000416,0.000416,0.000416
42,3929.85,0.31441,0.5671,0.34021,0.94876,0.93688,0.86803,0.95174,0.85429,0.93373,0.86511,0.94623,0.81388,0.39877,0.98265,0.38385,0.98428,0.0003764,0.0003764,0.0003764
43,4028.21,0.31117,0.53442,0.33069,0.9263,0.92965,0.90936,0.95254,0.85347,0.92666,0.90643,0.94902,0.81369,0.41382,0.98208,0.39708,0.99342,0.0003368,0.0003368,0.0003368
44,4121.63,0.3174,0.51082,0.32207,0.92363,0.92945,0.88599,0.95748,0.86025,0.9265,0.88456,0.95368,0.81549,0.39872,0.98926,0.35952,0.98636,0.0002972,0.0002972,0.0002972
45,4232.11,0.29496,0.51268,0.30604,0.9287,0.94909,0.88889,0.95984,0.86003,0.9426,0.88304,0.95238,0.81957,0.41041,0.94372,0.37578,0.99177,0.0002576,0.0002576,0.0002576
46,4332.92,0.28119,0.48958,0.30155,0.92073,0.92683,0.90058,0.95879,0.85849,0.92382,0.89766,0.95583,0.82222,0.39885,0.92498,0.36562,0.9826,0.000218,0.000218,0.000218
47,4423.18,0.2833,0.53311,0.28818,0.9223,0.90694,0.91813,0.95849,0.86049,0.90406,0.9152,0.95691,0.82531,0.38559,0.91539,0.34355,0.96306,0.0001784,0.0001784,0.0001784
48,4533.61,0.27336,0.46439,0.26871,0.89952,0.94005,0.87119,0.95786,0.86342,0.9369,0.86826,0.95392,0.82134,0.38065,0.91265,0.33916,0.97125,0.0001388,0.0001388,0.0001388
49,4626.05,0.26074,0.45823,0.2589,0.9039,0.95993,0.86842,0.96097,0.86653,0.9567,0.8655,0.95645,0.81759,0.37646,0.91343,0.33964,0.97319,9.92e-05,9.92e-05,9.92e-05
50,4717.7,0.2575,0.46461,0.26574,0.90612,0.93197,0.90351,0.96008,0.86459,0.93134,0.90351,0.95953,0.82544,0.37667,0.89881,0.33823,0.96894,5.96e-05,5.96e-05,5.96e-05
